[H3PO3]/M,E (V vs RHE),Gas,[H3PO4]/M,[HClO4]/M,Catalyst,-5.0eV,-2.0eV,0.0eV,2.0eV,5.0eV,10.0eV,15.0eV
0.0,0.1,N2,0,1,Pt on vulcan carbon,-0.00559,-0.013637476643035,-0.0257989653918819,-0.0190524599235536,0.0070519160441298,0.0159878585473937,0.00729
0.0,1.0,N2,0,1,Pt on vulcan carbon,0.000865537,0.0006992575854577,0.0074449833208875,0.0345775408589015,0.0283167386963956,-0.0070157172151151,-0.01081
2e-06,0.1,N2,0,1,Pt on vulcan carbon,-0.00144,-0.0049718583920076,-0.0087397086668287,-0.0123474064900809,0.0034250365950982,0.0147286881467869,0.00805
2e-06,0.5,N2,0,1,Pt on vulcan carbon,0.00448,0.0119303298322164,0.0206530952663195,0.0084816246679071,-0.0040656031822817,-0.0005049614758255,0.00179
2e-06,1.0,N2,0,1,Pt on vulcan carbon,0.00662,0.0157178992825215,0.0324760213681173,0.0416378921646276,0.0199768545148354,-0.0088964345851678,-0.00909
1e-05,0.1,N2,0,1,Pt on vulcan carbon,-0.00433,-0.0087279567164955,-0.0194539786133326,-0.0156191267404433,0.0072393918467413,0.0165782412816883,0.00878
1e-05,0.5,N2,0,1,Pt on vulcan carbon,0.00229,0.0050190662982914,0.0114004013218653,0.0058080269534195,1.442857624547853e-05,0.0008778414886142,0.00247
1e-05,1.0,N2,0,1,Pt on vulcan carbon,0.00408,0.0070398874420933,0.0164978898670644,0.0382942021364445,0.0259670148149485,-0.0081810155666976,-0.00979
2e-05,0.1,N2,0,1,Pt on vulcan carbon,-0.00466,-0.0093615177681686,-0.0165373740449682,-0.0166242918044352,0.0069961574754299,0.0155107821143611,0.00821
2e-05,0.5,N2,0,1,Pt on vulcan carbon,0.0018,-5.637711824028759e-05,0.0061718640804665,0.0041876906448905,-2.676910955570985e-05,0.0003259360788664,0.00226
2e-05,1.0,N2,0,1,Pt on vulcan carbon,0.00413,0.0063674792508401,0.0182505941573441,0.0350365568218609,0.0247880885532205,-0.0082086739616494,-0.00981
0.0001,0.1,N2,0,1,Pt on vulcan carbon,-0.00511,-0.0143307333211054,-0.0252849573513802,-0.0201177055039035,0.007402674158258,0.0157373910516311,0.00812
0.0001,0.5,N2,0,1,Pt on vulcan carbon,-0.000497247,-0.0002726109219536,0.0007318943289398,0.0042413232152834,0.0004466097985375,0.0016389634309985,0.00192
0.0001,1.0,N2,0,1,Pt on vulcan carbon,0.00258,0.0042781179882696,0.010419323575492,0.0333961797767842,0.024921554486908,-0.0076931002364758,-0.0095
0.0002,0.1,N2,0,1,Pt on vulcan carbon,-0.00454,-0.013730348185493,-0.020166032650789,-0.0200038905530554,0.0055205842136746,0.0154938910283895,0.00814
0.0002,0.5,N2,0,1,Pt on vulcan carbon,-0.000705383,0.0005266687354097,-0.0003630567161069,0.0023301896630414,0.0017668738055742,0.0051994809233654,0.00376
0.0002,1.0,N2,0,1,Pt on vulcan carbon,0.00247,0.0023803428250845,0.0090975597793635,0.0374359572366895,0.0318147195280482,-0.0075110561508165,-0.01076
0.0,0.1,CO,0,1,Pt on vulcan carbon,-0.00869,-0.0210768843660532,-0.035981681280864,-0.0283517404145338,0.0177389032987344,0.0180136719726387,0.00705
2e-06,0.1,CO,0,1,Pt on vulcan carbon,-0.01209,-0.0338577512002387,-0.0635980032000214,-0.0431478967412408,0.0403936469612539,0.0216836058425433,0.00522
1e-05,0.1,CO,0,1,Pt on vulcan carbon,-0.01003,-0.0282665869304351,-0.0514083238584758,-0.0405153562276151,0.04520134871262,0.0210005947501203,0.00469
2e-05,0.1,CO,0,1,Pt on vulcan carbon,-0.0097,-0.0279803676402721,-0.0504728748655691,-0.0325633485946937,0.0343928807140696,0.0196519904587897,0.00599
0.0001,0.1,CO,0,1,Pt on vulcan carbon,-0.01158,-0.0309785793658345,-0.053602139783459,-0.0386938477749683,0.0391635585871172,0.0226775593186007,0.00578
0.0002,0.1,CO,0,1,Pt on vulcan carbon,-0.00893,-0.0277692049060377,-0.0416221547516777,-0.0231132612956701,0.0222859464743972,0.0193048087501186,0.00592
0.0,0.1,N2,0,1,PtCo_rGo,-0.00555,-0.0192814942314622,-0.0349814379691221,-0.0233357535575831,0.0078180207603539,0.0166097772534499,0.00708
0.0,1.0,N2,0,1,PtCo_rGo,0.00674,0.0120065493340421,0.0261231932355113,0.0552453714250409,0.0297362162964152,-0.0160310001899413,-0.01683
2e-06,0.1,N2,0,1,PtCo_rGo,-0.00225,-0.0151390445637246,-0.028903883216185,-0.0226017290952818,0.0034405498548886,0.0119243520886036,0.0043
2e-06,0.5,N2,0,1,PtCo_rGo,0.000674047,-0.0013480192524303,0.0006318148741532,0.002295164069686,-0.0056570587878676,-0.0060645437442099,-0.000171064
2e-06,1.0,N2,0,1,PtCo_rGo,0.00248,0.0044737082334392,0.0125110557298615,0.0404856719541514,0.0301257111387447,-0.0158787874882279,-0.01505
2e-05,0.1,N2,0,1,PtCo_rGo,-0.00291,-0.0122501855045743,-0.0154627642390945,-0.0113469102231202,0.0032932918670609,0.009316110507011,0.00891
2e-05,0.5,N2,0,1,PtCo_rGo,0.00237,0.0014681794241201,0.0077312434251101,0.0078584155850461,-0.0130930051763139,-0.0078825239576507,-0.00065581
2e-05,1.0,N2,0,1,PtCo_rGo,0.00273,0.0033518115534016,0.0162976264202595,0.043229486821412,0.0241965338392726,-0.0115760859709195,-0.01606
0.0002,0.1,N2,0,1,PtCo_rGo,-0.00588,-0.0202395854695641,-0.0343804614969959,-0.022907384167449,0.0019671545563561,0.0126884215698013,0.00618
0.0002,0.5,N2,0,1,PtCo_rGo,-0.00107,-0.0034291488307147,-0.006816145096693,3.5639558396363506e-05,-0.0031834044499073,-0.0027169565959804,0.000740668
0.0002,1.0,N2,0,1,PtCo_rGo,0.00109,0.0052511352515205,0.0145295795283665,0.0448796239877792,0.0315106350855384,-0.0144938957816135,-0.01382
0.0,0.1,CO,0,1,PtCo_rGo,-0.00703,-0.0224336287911423,-0.0470047157324225,-0.0337836929151354,0.0241180122668574,0.0177981982022462,0.00349
2e-06,0.1,CO,0,1,PtCo_rGo,-0.0072,-0.0219857333904378,-0.0365815318115751,-0.0287141682385801,0.0221536613969094,0.0156874288269792,0.00664
2e-05,0.1,CO,0,1,PtCo_rGo,-0.00712,-0.0274311196000585,-0.0493674419478793,-0.0347040832247437,0.0099060959262248,0.0153784071336869,0.00384
0.0002,0.1,CO,0,1,PtCo_rGo,-0.00797,-0.0254460612921239,-0.0448867868253911,-0.0309994383300305,0.0086868907386518,0.0149188167130259,0.00633
